ID,Latitude,Longitude,directionSpeed,,
1,0,25.47022705,200.1,1.280064109,0
1,2.241994026,22.35244901,196.9,0.728704912,3
1,3.636013234,21.92729746,196.9,1.118583179,5
1,5.672437606,21.00107444,193.6,0.701994749,7
1,7.066456814,21.16809826,193.6,1.308887929,9
1,9.30845084,22.51947283,187,1.494426515,11
1,12.19927408,21.76027364,183.7,1.190944977,13
1,14.55690104,21.42116466,187,0.5348023,15
1,16.69611024,21.42116466,190.3,1.204048453,19
1,18.84174349,20.32791782,190.3,1.028464147,21
1,20.22933864,18.80951942,193.6,0.599096167,23
1,20.01734494,19.98880884,193.6,1.008071331,25
1,21.94456043,19.39663347,203.4,1.405753249,27
1,26.44139659,22.77253923,213.3,1.863689713,31
1,27.8354158,26.22942625,219.8,1.13419387,33
1,29.86541612,25.21716065,219.8,1.186214956,35
1,32.01104937,26.22942625,223.1,0.768955662,37
1,33.2958597,27.07466802,219.8,0.362100893,39
1,33.71984711,27.66178207,219.8,1.742970167,41
1,36.6170944,25.72329345,219.8,1.01580747,43
1,38.64709472,25.6423122,219.8,0.432556189,45
1,39.50791764,25.55626963,216.5,0.601170569,47
1,41.64712684,26.6545778,216.5,0.70109431,51
1,42.82272829,25.89031727,219.8,0.576066686,53
1,43.89554492,25.47022705,219.8,1.421809616,55
1,46.24674782,23.87084741,216.5,0.594191667,57
1,47.31956445,23.35965328,213.3,1.604702406,59
1,48.92557736,20.58098422,213.3,1.031820243,61
1,50.96200173,20.91503186,213.3,1.285530402,63
1,53.53162239,20.82898929,210,0.314597406,65
1,54.06481868,20.49494164,206.7,1.691155844,67
1,57.16763563,21.84125488,203.4,1.44926233,69
1,60.06488292,21.92729746,203.4,1.493637732,71
1,62.09488324,24.11885248,206.7,1.027736398,73
1,63.37969357,25.72329345,203.4,0.642914205,75
1,64.56171908,25.21716065,203.4,0.27937217,77
1,65.09491536,25.38418447,203.4,0.540094071,79
1,66.16130794,25.55626963,200.1,0.820711943,81
1,67.76732085,25.21716065,200.1,1.021631194,83
1,69.80374522,25.38418447,200.1,1.424593022,85
1,72.59178364,24.79707043,200.1,2.554330949,87
1,76.97941091,22.18036386,196.9,1.595546321,89
1,79.87023416,20.82898929,196.9,0.971553663,91
1,81.79744965,20.58098422,196.9,0.817835439,93
1,83.08225998,19.56871862,196.9,0.855481303,95
1,84.79105772,19.48267604,193.6,0.806907303,97
1,86.29428581,20.06979009,193.6,0.725237448,99
1,87.57909614,19.39663347,193.6,2.540403704,101
1,90.1487168,15.01352343,193.6,1.353957176,103
1,195.2911701,187.0936136,0,0,105
2,0.409550723,4.368864925,167.3,1.456288308,0
2,0.409550723,0,167.3,0,3
2,0.409550723,0,164,0.475839216,5
2,0.139247246,0.912484447,164,1.15652867,7
2,0,3.221346605,164,1.266949741,9
2,0.139247246,5.751417116,157.5,2.496239949,11
2,1.367899415,10.59034979,150.9,2.51228582,13
2,3.825203751,14.97304023,150.9,2.309791853,15
2,3.956259983,19.59076455,150.9,2.4538845,17
2,4.775361428,24.42969722,150.9,2.420467888,19
2,4.914608675,29.26862989,150.9,2.434518703,21
2,5.455215629,34.10756256,154.2,2.420353544,23
2,5.324159397,38.94649523,154.2,2.647587446,25
2,5.324159397,44.24167012,150.9,2.651034756,27
2,5.594462874,49.53684502,150.9,3.000138255,29
2,5.594462874,55.53712153,154.2,3.290820841,31
2,7.781463734,61.74478087,154.2,2.480023814,33
2,8.870868657,66.58371353,154.2,2.427459882,35
2,10.3698243,71.20143785,154.2,2.745785384,37
2,12.96637589,76.04037052,154.2,2.338098122,39
2,13.78547733,80.64426932,154.2,1.889660703,41
2,10.3698243,82.26185539,154.2,1.717965209,43
2,8.330261703,85.02695977,154.2,4.181813713,45
2,14.60457878,90.55716853,154.2,1.606977829,47
2,12.96637589,93.32227292,154.2,1.849604475,49
2,15.42368022,90.55716853,154.2,1.113462488,51
2,17.33218659,91.70468685,154.2,1.639456767,53
2,20.47753614,92.63099682,154.2,1.939018705,55
2,22.93484048,89.63085857,154.2,3.396568793,57
2,25.66244829,83.4093737,154.2,1.584586172,59
2,27.57095466,85.93944421,154.2,1.865992975,61
2,28.11975263,89.63085857,154.2,1.513981616,63
2,28.52930335,92.63099682,154.2,0.829058758,65
2,30.03645001,93.32227292,154.2,2.315968673,67
2,31.53540566,88.93958247,154.2,3.75029081,69
2,34.95105869,82.26185539,154.2,2.697975564,71
2,39.72642012,72.58399004,154.2,2.302236605,75
2,43.0028259,69.34881792,157.5,0.735250006,77
2,45.59118647,70.74519563,154.2,2.01414055,81
2,46.54953516,74.65781833,154.2,2.627924867,83
2,57.05860671,74.42278446,154.2,2.146763749,87
2,60.34320351,71.65768008,154.2,1.172452159,89
2,59.93365278,69.34881792,157.5,1.413327046,91
2,62.25170987,70.96640398,154.2,2.482080752,93
2,64.97931769,75.11406056,154.2,0.771996447,95
2,67.84617275,76.26157888,154.2,0.718844171,99
2,70.71302781,76.04037052,154.2,3.905943503,103
2,79.17434574,62.90612471,157.5,7.553190446,107
2,84.09714543,48.62436057,157.5,4.161724965,109
2,191.5304911,189.4096502,0,0,111
3,199.9429051,199.1252302,118.1,0,0
3,199.9429051,199.1252302,118.1,0,3
3,199.9429051,199.1252302,118.1,0.605998679,5
3,199.8320739,197.918311,118.1,0.904367272,7
3,199.8320739,196.1095764,118.1,0.690796466,9
3,200,194.7382268,118.1,0.526340255,11
3,199.8320739,193.6990266,118.1,0.675296533,13
3,199.0461797,192.6006314,118.1,0.533286333,15
3,198.2065491,191.9429098,118.1,0.575607433,17
3,197.0881612,191.6699553,118.1,0.487833453,19
3,196.1376994,191.4496185,118.1,0.451634252,21
3,195.240974,191.3410944,118.1,0.476052294,23
3,194.2905122,191.2851881,118.1,0.416515291,25
3,193.504618,191.5614312,118.1,0.551454682,27
3,192.8329135,192.436201,118.1,0.498981731,29
3,192.2720403,193.2616417,118.1,0.964160893,31
3,191.768262,195.1229939,118.1,0.849908399,33
3,190.9319899,196.6028677,118.1,0.652765778,35
3,190.1460957,197.6453565,118.1,0.549336527,37
3,189.4172964,198.4675086,118.1,0.919588319,39
3,188.1880772,199.8355696,118.1,0.566866919,41
3,187.0663308,200,118.1,0.529138613,43
3,186.5625525,199.0693239,118.1,0.740172696,45
3,186.0050378,197.6979742,118.1,0.746696203,47
3,185.5549958,196.2740068,118.1,0.812107054,49
3,185.8942065,194.6856091,118.1,0.799710338,51
3,186.34089,193.149829,118.1,0.753262169,53
3,186.0587741,191.6699553,118.1,0.730478005,55
3,185.5549958,190.2986056,118.1,0.63944656,57
3,185.3333333,189.0390687,118.1,0.908256548,59
3,185.1654072,187.2303341,118.1,0.755227731,61
3,184.6616289,185.8063667,118.1,0.69484428,63
3,184.4366079,184.4350171,118.1,0.933965897,65
3,184.5474391,182.5703762,118.1,0.794198895,67
3,184.5474391,180.9819784,118.1,0.604134475,69
3,184.604534,179.7750592,118.1,0.728934773,71
3,185.1083123,178.4069982,118.1,0.569465225,73
3,185.9479429,177.6374638,118.1,0.568674714,75
3,186.7338371,176.8153118,118.1,0.627893957,77
3,187.3484467,175.7202052,118.1,0.302258786,79
3,187.2913518,175.1183899,118.1,0.877707383,81
3,187.9059614,173.4740858,118.1,0.87460419,83
3,187.1805206,171.8823994,118.1,0.531641685,85
3,186.9554996,170.8431992,118.1,0.581735718,87
3,186.5625525,169.7480926,118.1,0.532897079,89
3,186.34089,168.7056038,118.1,0.576214045,91
3,186.3979849,167.5545909,118.1,0.467854137,93
3,186.34089,166.6206262,118.1,0.63534096,95
3,186.1729639,165.3610892,118.1,0.541495868,97
3,0,83.41883715,0,0,99
4,92.65861606,200,390.4,6.05566575,0
4,110.2165996,195.3355596,390.4,3.535811283,3
4,117.2512938,194.6138102,390.4,5.476388373,5
4,127.1612038,189.9493698,390.4,2.130786391,7
4,128.7521564,185.9959065,390.4,1.860395504,9
4,131.3015143,179.0046321,390.4,2.840785354,13
4,136.7452559,177.3780028,390.4,7.43113441,15
4,151.1213341,173.6076699,390.4,6.293470159,17
4,163.5806019,171.8194549,390.4,11.73602332,19
4,186.582327,167.1442422,390.4,6.144224842,21
4,198.3898792,163.7401702,390.4,2.898698719,23
4,200,158.1708499,390.4,6.276695755,25
4,191.0484953,149.3698158,390.4,10.78272369,27
4,171.5641173,140.1271141,390.4,6.001968525,29
4,160.7053862,135.0102338,390.4,8.76404756,31
4,144.4124976,128.546806,390.4,5.445772718,33
4,133.5441825,127.8358289,390.4,5.071849136,35
4,123.6342726,125.6705806,390.4,0.716363245,37
4,123.6342726,124.2378541,390.4,2.354151249,39
4,121.7366302,119.9289023,390.4,2.509964451,41
4,121.7366302,114.9089734,390.4,7.705448509,43
4,106.7088365,111.4941291,390.4,3.716711592,45
4,100.6517155,107.1851772,390.4,2.073973637,47
4,100.9584052,103.0485834,390.4,6.730423281,49
4,114.3760782,101.9713455,390.4,7.296772336,51
4,128.7521564,99.46138102,390.4,5.520537448,53
4,119.8006517,92.99795325,390.4,4.407905776,55
4,113.1109833,87.25627491,390.4,2.612002328,57
4,112.7851256,82.04244318,390.4,2.711602706,59
4,113.417673,76.65625337,390.4,1.7964292,61
4,116.2928886,74.50177744,390.4,1.68296481,63
4,118.5355568,71.99181299,390.4,3.194037087,65
4,124.6118459,70.02046752,390.4,6.099347648,67
4,136.7452559,68.76009911,390.4,5.284616984,69
4,128.119609,62.65215986,390.4,2.172237499,71
4,127.4870615,58.35398039,390.4,1.648117196,73
4,125.8769408,55.47775504,390.4,0.162928886,75
4,126.2027985,55.47775504,390.4,3.723320486,77
4,119.493962,52.24604115,390.4,2.119019752,79
4,123.6342726,51.34116126,390.4,2.905767021,81
4,128.4262986,40.7519121,390.4,2.620684211,85
4,127.7937512,35.54885274,390.4,4.007535413,87
4,121.4107725,30.70128191,390.4,7.045615561,89
4,108.6256469,24.77647312,390.4,10.64662723,91
4,88.17327966,18.85166433,387.1,3.214439326,93
4,82.11615871,16.69718841,387.1,3.608944344,95
4,89.15085298,15.08133147,387.1,2.633687391,97
4,84.99137435,11.84961758,387.1,3.604669004,99
4,89.78340042,6.463427772,390.4,3.253111815,101
4,67.08836496,59.2480879,0,0,103
5,1.883239171,0.90958904,219.8,0.127882626,0
5,1.755178908,0.547945204,223.1,0.627896541,3
5,0.625235405,0,210,2.649492401,5
5,0.873822976,5.293150684,206.7,2.595935648,7
5,0,10.4109589,206.7,2.121786577,9
5,0.625235405,14.60821918,193.6,2.950740567,11
5,6.026365349,16.98630137,190.3,2.560278682,13
5,7.404896422,21.91780822,193.6,1.686433848,15
5,8.15819209,25.20547945,193.6,1.469650292,17
5,8.534839925,28.12054795,193.6,1.336663443,19
5,10.29001883,30.1369863,193.6,2.195518755,21
5,10.54613936,34.52054795,193.6,1.436209224,23
5,12.173258,36.88767123,196.9,2.206260578,25
5,12.6779661,41.27123288,196.9,1.03498418,27
5,13.93596987,42.91506849,196.9,0.962544227,29
5,14.93785311,44.55890411,196.9,0.497310796,31
5,15.31450094,45.47945205,196.9,0.329812068,33
5,15.9472693,45.66575342,196.9,0.661868345,35
5,16.31638418,46.9369863,196.9,2.058677435,37
5,17.19774011,50.95890411,196.9,1.786704519,39
5,18.07909605,54.42191781,196.9,0.915068493,41
5,18.07909605,56.25205479,196.9,2.391434188,43
5,17.57438795,61.00821918,196.9,1.943730259,45
5,18.20715631,64.84383562,196.9,1.681941131,47
5,17.44632768,68.12054794,193.6,2.858304658,49
5,18.20715631,73.78630137,193.6,2.561920996,51
5,18.45574388,78.90410959,193.6,2.402312916,53
5,19.20903955,83.64931507,193.6,1.458583965,55
5,20.21092279,86.3890411,193.6,1.020270971,57
5,20.58757062,88.39452055,196.9,0.329812068,59
5,21.22033898,88.58082192,196.9,1.112598091,61
5,20.83615819,86.3890411,196.9,0.649399769,63
5,22.84745763,84.74520548,196.9,1.207251164,67
5,25.2354049,80.5479452,196.9,0.864022002,71
5,28.36911488,82.00547945,196.9,1.084855542,75
5,30.50847458,81.64383562,196.9,0.629001883,77
5,31.76647834,81.64383562,196.9,1.100559994,79
5,33.89830508,82.19178082,196.9,1.31826742,81
5,36.53483992,82.19178082,196.9,0.941619586,83
5,38.4180791,82.19178082,196.9,1.190207156,85
5,40.79849341,82.19178082,196.9,0.949964136,87
5,42.68926554,82.00547945,196.9,1.507899748,89
5,44.94161959,80,196.9,1.133776596,91
5,47.20150659,80.18630137,196.9,2.02752745,93
5,50.34274953,77.62191781,196.9,2.035301636,95
5,52.97928437,74.52054794,196.9,1.696424398,97
5,56.12052731,73.23835616,196.9,1.573066446,99
5,59.26177024,73.0630137,196.9,1.788548103,101
5,62.52354049,71.59452055,196.9,2.248396555,103
5,185.1826742,194.8821918,0,0,105
6,197.4371666,200,331.4,0,0
6,197.4371666,200,331.4,0,3
6,197.4371666,200,331.4,2.004412714,5
6,194.5003575,192.5395793,331.4,4.829637535,9
6,193.9503932,182.8959734,331.4,3.595189498,11
6,198.5370951,177.3584906,331.4,2.499252673,13
6,200,167.4690956,331.4,3.845005769,17
6,186.0639058,160.9629148,331.4,3.324670523,21
6,180.2012869,164.1003398,331.4,3.840733093,23
6,176.538525,170.8523097,328.1,3.684662615,25
6,169.5759776,168.4377937,328.1,2.644348609,27
6,165.7152285,164.8232488,328.1,4.705069348,29
6,163.5263708,155.671221,324.8,4.115422968,31
6,162.7894187,147.4734331,324.8,5.8166029,33
6,158.5766925,136.6297983,324.8,3.448422035,35
6,157.1027883,129.8922866,321.5,0.281763972,37
6,158.2027168,129.6464975,321.5,0.920399617,41
6,157.476764,127.9548905,315,0.973199367,43
6,157.2897762,129.8922866,311.7,2.426667619,45
6,150.3162294,123.1403166,308.4,2.727097194,49
6,147.753396,127.9548905,308.4,4.729076033,51
6,145.3665512,137.1069182,308.4,2.198892559,53
6,144.6405984,141.4443722,305.1,4.15124421,55
6,142.2537535,149.396371,305.1,1.816654156,57
6,140.0538965,152.2880069,305.1,2.616002177,59
6,137.1280867,156.6254609,301.8,1.636900511,61
6,134.9172304,159.0399769,301.8,1.244525704,63
6,133.0913491,160.7315839,298.6,2.39087582,65
6,131.0784799,165.0690378,298.6,2.648962385,67
6,128.8676236,169.8836117,298.6,1.968360968,69
6,126.8547544,173.2668257,295.3,2.970554746,71
6,123.7419568,178.3271886,295.3,2.271646219,73
6,120.4421713,181.4501554,295.3,1.80131716,75
6,117.1423857,182.8959734,295.3,2.011708664,77
6,114.9425287,186.2647293,295.3,2.80072104,79
6,113.1056481,180.9730355,295.3,2.779141588,81
6,109.6298741,176.6355816,295.3,2.297097273,83
6,106.5060771,173.2668257,295.3,2.390563369,85
6,103.3932794,169.6378226,292,2.271646219,87
6,100.0934939,166.5148558,292,2.415572242,89
6,96.41973272,163.3774308,292,1.60201477,91
6,93.8568993,161.4544929,292,2.215459893,93
6,91.29406589,157.839948,292,2.029042286,95
6,88.72023319,154.702523,292,2.479500342,97
6,85.60743552,150.842189,292,2.80072104,99
6,83.77055491,145.5504952,292,3.578887399,101
6,81.39470934,138.7985253,292,2.909135479,103
6,79.00786449,133.4923733,292,4.155573925,105
6,75.89506682,125.7861635,292,6.745739563,107
6,0.186987846,29.88505747,0,0,109
7,186.0555622,200,167.3,0,0
7,186.0555622,200,167.3,0.131712581,3
7,186.0555622,199.7365748,167.3,0.300222245,5
7,185.5159876,199.4731497,164,0.327082301,7
7,185.3578364,198.8383903,164,0.346619349,9
7,185.436912,198.1496763,164,0.808863698,11
7,186.3672131,196.8262029,164,1.610868964,13
7,189.0046166,194.9758791,164,1.217829758,15
7,191.1722181,193.8650501,164,0.782466218,17
7,192.41417,192.912911,164,0.853773449,19
7,192.6467453,191.2212771,164,0.450829376,21
7,192.7258209,190.3230925,164,1.097888613,23
7,194.8980739,190.002539,164,1.110074745,25
7,196.6005248,188.5775041,167.3,1.950148249,27
7,194.6654986,185.1910626,167.3,1.007557895,29
7,193.4235467,183.604164,167.3,0.777603588,31
7,192.3350944,182.493335,167.3,0.768847496,33
7,191.1722181,181.4872413,167.3,1.219137052,35
7,189.1581163,180.1129872,167.3,1.660301441,37
7,186.5997884,177.9960645,170.6,1.008411573,39
7,184.5856865,177.8913292,170.6,0.65586311,41
7,183.3437346,178.3134442,170.6,0.997964137,43
7,182.9576597,180.271677,167.3,0.821378704,45
7,183.0367353,181.9125302,167.3,0.689045323,47
7,181.8738589,182.6520249,170.6,0.641950739,49
7,180.8644823,183.4454742,170.6,0.930195043,51
7,179.1573798,184.1849689,170.6,0.662863969,53
7,177.9200794,184.6610385,170.6,0.804963152,55
7,176.3664766,185.0831535,170.6,0.778076494,57
7,174.971025,185.7718675,170.6,0.939135376,59
7,173.268574,186.5653167,173.9,0.868177501,61
7,171.5614716,186.8826965,173.9,0.748936456,63
7,170.0869444,187.1461216,173.9,0.955008348,65
7,168.3054178,187.8348356,173.9,0.425981024,67
7,167.6821161,187.2540307,173.9,1.063362224,69
7,166.9843903,185.2450171,173.9,0.82256042,71
7,165.361015,184.9784182,173.9,0.830968154,73
7,164.3516383,183.6581186,173.9,0.634532026,75
7,165.0493641,182.5980703,173.9,1.594511311,77
7,171.1738461,180.8175701,173.9,1.422189274,81
7,176.7039692,179.4835174,173.9,1.975819754,85
7,180.4784073,178.3134442,173.9,1.14513631,87
7,182.6460088,177.5739495,173.9,0.596188051,89
7,183.6553855,176.93919,173.9,2.366620927,91
7,188.3859664,176.7805002,173.9,1.452303577,93
7,191.2512937,176.3044306,173.9,1.475456816,95
7,194.2003481,176.4091659,173.9,0.922019397,97
7,195.9818746,175.9330964,173.9,0.360769046,99
7,196.6005248,175.5617621,173.9,0.364245532,101
7,11.70318744,18.40802336,0,0,103
8,200,200,150.9,0,0
8,200,200,150.9,0,3
8,200,200,150.9,0.110600283,5
8,199.7174594,199.6595745,150.9,0.606435069,9
8,198.9806377,198.6961702,150.9,0.606522843,11
8,198.4266364,197.6170213,150.9,0.631740515,13
8,198.6149968,196.3676596,150.9,0.399381601,15
8,198.5208166,195.5744681,150.9,0.557066374,17
8,198.243816,194.4953191,150.9,0.347038849,19
8,196.952993,193.9846809,150.9,0.544627606,23
8,197.9668153,193.586383,150.9,0.433627045,25
8,198.4266364,192.8510638,150.9,0.645411484,27
8,197.1358134,192.8510638,150.9,0.664914985,29
8,195.9336306,192.2825532,150.9,0.204640605,31
8,195.8394504,191.8842553,150.9,0.435829466,33
8,196.0278109,191.0331915,150.9,0.407624948,35
8,195.8394504,190.24,150.9,0.638569163,37
8,195.3796294,189.0485106,150.9,0.778378538,39
8,195.65663,187.5165957,150.9,0.509313353,41
8,195.196809,186.6076596,150.9,1.544277672,43
8,198.1496357,185.7021277,150.9,0.761923402,45
8,198.703637,184.2825532,150.9,0.919796137,47
8,196.952993,183.7174468,150.9,1.908408713,49
8,193.3464447,182.4680851,150.9,1.130512863,51
8,191.5016205,181.1608511,150.9,1.040615713,53
8,189.6567962,180.1974468,150.9,1.457660819,55
8,186.8867898,179.2885106,150.9,0.870167142,57
8,185.9616077,177.8144681,150.9,0.733649592,59
8,185.5904269,176.3948936,150.9,0.971621427,61
8,186.4214288,174.6382979,154.2,0.461282372,63
